dbID	LabID	*sample_name	sample_title	bioproject_accession	*organism	isolate	cultivar	ecotype	age	dev_stage	*geo_loc_name	*tissue	biomaterial_provider	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
EXP000067	1				Vitis vinifera 		Gamay Noir				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000070	11				Vitis vinifera 		Pinot blanc				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									White							
EXP000083	43				Hybrid		Baco noir				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000084	25				Hybrid		Castel				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000066	35				Vitis vinifera 		Corvina				Canada/Ontario/Niagara/Pilitteri	Leaves				JW/PL	31-07-2019									Red							
EXP000069	27				Vitis vinifera 		Molinara				Canada/Ontario/Niagara/Pilitteri	Leaves				JW/PL	31-07-2019									Red							
EXP000071	21				Vitis vinifera 		Rondinella				Canada/Ontario/Niagara/Pilitteri	Leaves				JW/PL	31-07-2019									Red							
EXP000040	32				Vitis vinifera 		Viognier				Canada/Ontario/Niagara/Queenston Mile	Leaves				JW/PL	31-07-2019									Red							
EXP000061	36				Vitis vinifera 		Pinot noir				Canada/Ontario/Niagara/Queenston Mile	Leaves				JW/PL	31-07-2019									Red							
EXP000063	18				Vitis vinifera 		Syrah				Canada/Ontario/Niagara/Queenston Mile	Leaves				JW/PL	31-07-2019									Red							
EXP000064	38				Vitis vinifera 		Syrah				Canada/Ontario/Niagara/Queenston Mile	Leaves				JW/PL	31-07-2019									Red							
EXP000020	19				Vitis vinifera 		Gewurztraminer				Canada/Ontario/Niagara/Stratus	Leaves				JW/PL	31-07-2019									Red							
EXP000068	24				Vitis vinifera 		Malbec				Canada/Ontario/Niagara/Stratus	Leaves				JW/PL	31-07-2019									Red							
EXP000072	22				Vitis vinifera 		Sangiovese				Canada/Ontario/Niagara/Stratus	Leaves				JW/PL	31-07-2019									Red							
EXP000073	39				Vitis vinifera 		Semillion				Canada/Ontario/Niagara/Stratus	Leaves				JW/PL	31-07-2019									Red							
EXP000074	16				Vitis vinifera 		Tempranillo				Canada/Ontario/Niagara/Stratus	Leaves				JW/PL	31-07-2019									Red							
EXP000078	10				Hybrid		Sovereign Coronation				Canada/Ontario/Niagara/Vineland	Leaves				JW/PL	31-07-2019									Red							
EXP000076	9				Hybrid		Neptune				Canada/Ontario/Niagara/Vineland Research	Leaves				JW/PL	31-07-2019									White							
EXP000081	28				Hybrid		Himrod				Canada/Ontario/Niagara/Vineland Research	Leaves				JW/PL	31-07-2019									Red							
EXP000082	14				Hybrid		Jupiter				Canada/Ontario/Niagara/Vineland Research	Leaves				JW/PL	31-07-2019									Red							
